,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking,c_range,c_angle,id_new
112,13056713,1.0,12.3046875,17.2890625,0.3046875,-0.015625,-0.0078125,0.0,2.0,99.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.220674273018812,35.43959386910607,1008.0
115,13356070,1.0,12.3125,17.2890625,0.3046875,-0.0078125,-0.0078125,0.0,2.0,102.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.225205261172533,35.45677584223507,1008.0
116,13456278,1.0,12.296875,17.296875,0.3046875,0.0,0.0,0.0,2.0,103.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.222512092852014,35.41017969128439,1008.0
118,13656076,1.0,12.296875,17.2890625,0.3125,0.0,0.0,0.0,2.0,105.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.216145194038695,35.422404558648196,1008.0
120,13857113,1.0,12.28125,17.2890625,0.3125,0.0,0.0,0.0,2.0,107.0,21.078125,0.0,-0.0044529999999999995,6.1e-05,21.207092768491542,35.38800391933096,1008.0
121,13954422,1.0,12.2734375,17.296875,0.3125,0.0,0.0,0.0,2.0,108.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.208940398615656,35.358575394802145,1008.0
122,14060561,1.0,12.265625,17.296875,0.3125,0.0,0.0,0.0,2.0,109.0,21.078125,0.0,-0.0044529999999999995,6.1e-05,21.204420327050915,35.341359288322785,1008.0
124,14259339,1.0,12.25,17.3046875,0.3125,0.015625,0.0078125,0.0,2.0,111.0,21.078125,0.0,-0.004392,6.1e-05,21.201761942646566,35.29470292930538,1008.0
125,14356677,1.0,12.234375,17.3125,0.3125,0.0234375,0.015625,0.0,2.0,112.0,21.078125,0.0,-0.004392,6.1e-05,21.19911762056678,35.24803489975355,1008.0
126,14457096,1.0,12.2265625,17.3125,0.3125,0.0234375,0.015625,0.0,2.0,113.0,21.078125,0.0,-0.004392,6.1e-05,21.19460985289435,35.230787276994946,1008.0
127,14557726,1.0,12.2109375,17.3203125,0.3125,0.03125,0.015625,0.0,2.0,114.0,21.078125,0.0,-0.004392,6.1e-05,21.19198479913013,35.18409557234705,1008.0
128,14660985,1.0,12.203125,17.3203125,0.3125,0.03125,0.0234375,0.0,2.0,115.0,21.078125,0.0,-0.004392,6.1e-05,21.18748415605971,35.166828553293136,1008.0
129,14757744,1.0,12.1875,17.328125,0.3125,0.0390625,0.0234375,0.0,2.0,116.0,21.078125,0.0,-0.004392,6.1e-05,21.184878386850016,35.12011326865395,1008.0
130,14858553,1.0,12.1796875,17.328125,0.3125,0.0390625,0.0234375,0.0,2.0,117.0,21.078125,0.0,-0.004392,6.1e-05,21.18038487878068,35.102826874207274,1008.0
133,15156904,1.0,12.1640625,17.3359375,0.3125,0.0390625,0.0234375,0.0,2.0,120.0,21.078125,0.0,-0.004392,6.1e-05,21.177798410311976,35.05608810506591,1008.0
135,15358962,1.0,12.1484375,17.34375,0.3125,0.046875,0.03125,0.0,2.0,122.0,21.078125,0.0,-0.004392,6.1e-05,21.175226037846826,35.00933794913092,1008.0
136,15455701,1.0,12.140625,17.34375,0.3203125,0.046875,0.03125,0.0,2.0,123.0,21.078125,0.0,-0.004392,6.1e-05,21.17074489603814,34.992020198558656,1008.0
137,15559179,1.0,12.1328125,17.3515625,0.3203125,0.046875,0.03125,0.0,2.0,124.0,21.078125,0.0,-0.004392,6.1e-05,21.17266776652301,34.96257646451251,1008.0
138,15656078,1.0,12.125,17.3515625,0.3203125,0.046875,0.03125,0.0,2.0,125.0,21.1640625,0.0,-0.004392,6.1e-05,21.168191849834653,34.94524672987628,1008.0
139,15756717,1.0,12.1171875,17.359375,0.3203125,0.046875,0.03125,0.0,2.0,126.0,21.1640625,0.0,-0.004392,6.1e-05,21.17012360145262,34.9158037094094,1008.0
140,15855056,1.0,12.1015625,17.3671875,0.3203125,0.0625,0.0390625,0.0,2.0,127.0,21.1640625,0.0,-0.004392,6.1e-05,21.16759354772201,34.869019742108485,1008.0
141,15957104,1.0,12.078125,17.3828125,0.3203125,0.0703125,0.046875,0.0,2.0,128.0,21.1640625,0.0,-0.004392,6.1e-05,21.167032714241767,34.792788580044366,1008.0
142,16058373,1.0,12.0546875,17.3984375,0.3203125,0.078125,0.0546875,0.0,2.0,129.0,21.1640625,0.0,-0.004331,6.1e-05,21.166509352372262,34.71655351324948,1008.0
144,16259001,1.0,12.0625,17.390625,0.3203125,0.0625,0.0390625,0.0,2.0,131.0,21.078125,0.0,-0.004331,6.1e-05,21.164539780978583,34.74598322377529,1008.0
146,16457729,1.0,12.046875,17.3984375,0.3203125,0.0625,0.046875,0.0,2.0,133.0,21.1640625,0.0,-0.004331,6.1e-05,21.162060974938882,34.69916687121991,1008.0
147,16557093,1.0,12.0390625,17.40625,0.3203125,0.0703125,0.046875,0.0,2.0,134.0,21.1640625,0.0,-0.004331,6.1e-05,21.164039428743422,34.66973808661539,1008.0
148,16660352,1.0,12.0234375,17.4140625,0.3203125,0.0703125,0.046875,0.0,2.0,135.0,21.1640625,0.0,-0.004331,6.1e-05,21.161583638053003,34.62291176290136,1008.0
153,17160376,1.0,12.015625,17.421875,0.3203125,0.0546875,0.0390625,0.0,2.0,140.0,21.1640625,0.0,-0.004331,6.1e-05,21.163576556344392,34.593489479284116,1008.0
155,17365484,1.0,12.015625,17.4140625,0.3203125,0.046875,0.03125,0.0,2.0,142.0,21.1640625,0.0,-0.004331,6.1e-05,21.157145764363662,34.60550141197765,1008.0
156,17455683,1.0,11.9921875,17.4375,0.3203125,0.0546875,0.0390625,0.0,2.0,143.0,21.1640625,0.0,-0.004331,6.1e-05,21.163151166240727,34.5172376716346,1008.0
157,17555096,1.0,11.9609375,17.4609375,0.3203125,0.078125,0.0546875,0.0,2.0,144.0,21.1640625,0.0,-0.004331,6.1e-05,21.164790673611975,34.41157959285564,1008.0
158,17655105,1.0,11.9453125,17.46875,0.3203125,0.078125,0.0546875,0.0,2.0,145.0,21.1640625,0.0,-0.004331,6.1e-05,21.1624128417616,34.364725535127654,1008.0
159,17758584,1.0,11.921875,17.484375,0.3203125,0.09375,0.0625,0.0,2.0,146.0,21.1640625,0.0,-0.004331,6.1e-05,21.162099911309607,34.28846574629358,1008.0
160,17859133,1.0,11.8984375,17.5,0.3203125,0.1015625,0.0703125,0.0,2.0,147.0,21.1640625,0.0,-0.0042699999999999995,6.1e-05,21.161824470999807,34.21220383717651,1008.0
161,17954912,1.0,11.890625,17.5078125,0.328125,0.1015625,0.0625,0.0,2.0,148.0,21.1640625,0.0,-0.0042699999999999995,6.1e-05,21.163895232820003,34.18282137270294,1008.0
162,18053456,1.0,11.90625,17.4921875,0.328125,0.0859375,0.0546875,0.0,2.0,149.0,21.1640625,0.0,-0.004331,6.1e-05,21.159759275512947,34.24159204484535,1008.0
163,18157305,1.0,11.9140625,17.484375,0.328125,0.0703125,0.046875,0.0,2.0,150.0,21.1640625,0.0,-0.004331,6.1e-05,21.15769964798941,34.27098598192559,1008.0
164,18257544,1.0,11.890625,17.5,0.328125,0.078125,0.0546875,0.0,2.0,151.0,21.078125,0.0,-0.0042699999999999995,6.1e-05,21.157432804823582,34.19470800355074,1008.0
165,18355103,1.0,11.9296875,17.4765625,0.328125,0.046875,0.03125,0.0,2.0,152.0,21.078125,0.0,-0.004331,6.1e-05,21.160049164972715,34.317860978417954,1008.0
166,18458171,1.0,11.9375,17.46875,0.328125,0.0390625,0.0234375,0.0,2.0,153.0,21.078125,0.0,-0.004331,6.1e-05,21.158003989329902,34.347261901088004,1008.0
