,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking
11544,41257452,39.0,-6.3515625,35.7578125,0.421875,0.515625,-0.0703125,0.0,3.0,2.0,0.0,0.0,0.0013419999999999999,6.1e-05
11545,41357040,39.0,-6.40625,35.75,0.421875,0.515625,-0.0703125,0.0,3.0,1.0,0.0,0.0,0.0013419999999999999,6.1e-05
11546,41453359,39.0,-6.453125,35.7421875,0.421875,0.515625,-0.0703125,0.0,3.0,0.0,0.0,0.0,0.0013419999999999999,6.1e-05
11547,41556109,39.0,-6.5078125,35.734375,0.421875,0.515625,-0.0703125,0.0,3.0,0.0,0.0,0.0,0.0013419999999999999,6.1e-05
11548,41658998,39.0,-6.5625,35.7265625,0.421875,0.515625,-0.0703125,0.0,3.0,0.0,0.0,0.0,0.001403,6.1e-05
11549,42659352,39.0,-1.78125,60.4296875,0.9375,0.0,-31.4609375,1.0,1.0,0.0,60.46875,-31.4609375,0.000183,0.000122
11550,42760161,39.0,-0.1015625,54.6875,0.859375,0.0,-34.3203125,1.0,1.0,1.0,54.0390625,-34.4140625,0.0,0.000122
11551,43253704,39.0,4.078125,26.1328125,0.0,0.0,15.09375,1.0,1.0,0.0,26.453125,15.09375,-0.001098,0.0
11552,43359413,39.0,4.1171875,26.2109375,0.0,0.0,15.328125,1.0,1.0,1.0,26.203125,15.15625,-0.001098,0.0
11553,43856582,39.0,1.1640625,61.59375,0.1015625,0.0,54.78125,1.0,1.0,0.0,61.609375,54.78125,-6.1e-05,0.0
11554,45654685,39.0,-4.7734375,60.7578125,0.9453125,0.0,-8.8515625,1.0,1.0,0.0,60.953125,-8.8515625,0.00061,0.000122
11555,46162855,39.0,12.1953125,31.3125,0.0,0.0,37.4453125,1.0,1.0,0.0,33.609375,37.4453125,-0.002745,0.0
11556,46259394,39.0,12.1640625,31.7578125,0.0,0.1484375,33.203125,1.0,1.0,1.0,33.2890625,30.828125,-0.0026839999999999998,0.0
